National Center for Education Statistics,,,,,,,,,,,,,,,,,,,
Price Trend,,,,,,,,,,,,,,,,,,,
,,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
145600,University of Illinois at Chicago,On-campus in-district(total),30866,30662,30034,29574,29533,29320,28627,27878,26878,25355,24166,22264,21624,19426,18608,17478,16912
145600,University of Illinois at Chicago,On-campus in-state(total),30866,30662,30034,29574,29533,29320,28627,27878,26878,25355,24166,22264,21624,19426,18608,17478,16912
145600,University of Illinois at Chicago,Off-campus in-district(total),29692,29632,29574,29574,29544,29320,29032,28566,27766,26400,25360,24046,23042,21648,19174,17478,16912
145600,University of Illinois at Chicago,Off-campus in-state(total),29692,29632,29574,29574,29544,29320,29032,28566,27766,26400,25360,24046,23042,21648,19174,17478,16912
145600,University of Illinois at Chicago,Off-campus with family in-district(total),20292,20232,20192,20192,20162,19938,19650,19184,18330,17420,15596,14846,13842,12574,11900,11034,10668
145600,University of Illinois at Chicago,Off-campus with family in-state(total),20292,20232,20192,20192,20162,19938,19650,19184,18330,17420,15596,14846,13842,12574,11900,11034,10668
145600,University of Illinois at Chicago,Off-campus with family out-of-state(total),33508,33088,33048,33048,32552,32328,32040,31574,30720,29810,27986,27236,26232,24964,23148,20730,17996
146719,Loyola University Chicago,On-campus in-district(total),61328,59958,58602,56536,53322,51273,49388,47664,46134,44341,42776,40798,39400,36320,33820,30844,29302
146719,Loyola University Chicago,On-campus in-state(total),61328,59958,58602,56536,53322,51273,49388,47664,46134,44341,42776,40798,39400,36320,33820,30844,29302
146719,Loyola University Chicago,Off-campus in-district(total),58348,57378,56332,54726,51712,50181,40838,34494,33314,31856,30686,29166,28086,25436,23296,21344,28372
146719,Loyola University Chicago,Off-campus in-state(total),58348,57378,56332,54726,51712,50181,40838,34494,33314,31856,30686,29166,28086,25436,23296,21344,28372
146719,Loyola University Chicago,Off-campus with family in-district(total),46848,45878,44832,43226,40212,38373,37378,34494,33314,31856,30686,29166,28086,25436,23296,21344,23722
146719,Loyola University Chicago,Off-campus with family in-state(total),46848,45878,44832,43226,40212,38373,37378,34494,33314,31856,30686,29166,28086,25436,23296,21344,23722
146719,Loyola University Chicago,Off-campus with family out-of-state(total),46848,45878,44832,43226,40212,38373,37378,34494,33314,31856,30686,29166,28086,25436,23296,21344,23722
147767,Northwestern University,On-campus in-district(total),74649,72980,70496,68060,65519,63193,60840,58829,56406,53983,52120,49779,47448,45163,42868,40893,38971
147767,Northwestern University,On-campus in-state(total),74649,72980,70496,68060,65519,63193,60840,58829,56406,53983,52120,49779,47448,45163,42868,40893,38971
147767,Northwestern University,Off-campus in-district(total),74649,72980,70496,68060,65519,63193,60840,43780,41960,40148,38751,50363,48006,45721,43426,41367,28494
147767,Northwestern University,Off-campus in-state(total),74649,72980,70496,68060,65519,63193,60840,43780,41960,40148,38751,50363,48006,45721,43426,41367,28494
147767,Northwestern University,Off-campus with family in-district(total),59572,57737,55874,53976,52114,50315,48495,43780,41960,40148,38751,39587,37740,35848,34033,32400,28494
147767,Northwestern University,Off-campus with family in-state(total),59572,57737,55874,53976,52114,50315,48495,43780,41960,40148,38751,39587,37740,35848,34033,32400,28494
147767,Northwestern University,Off-campus with family out-of-state(total),59572,57737,55874,53976,52114,50315,48495,43780,41960,40148,38751,39587,37740,35848,34033,32400,28494
149329,Telshe Yeshiva-Chicago,On-campus in-district(total),17500,17500,17500,16000,16000,16000,16000,16000,16000,14500,14000,14000,14000,13000,10200,9200,7200
149329,Telshe Yeshiva-Chicago,On-campus in-state(total),17500,17500,17500,16000,16000,16000,16000,16000,16000,14500,14000,14000,14000,13000,10200,9200,7200
149329,Telshe Yeshiva-Chicago,Off-campus in-district(total),29194,28872,28556,27152,29214,28960,28676,28390,29342,27886,26515,25904,25540,24062,23613,21977,19673
149329,Telshe Yeshiva-Chicago,Off-campus in-state(total),29194,28872,28556,27152,29214,28960,28676,28390,29342,27886,26515,25904,25540,24062,23613,21977,19673
149329,Telshe Yeshiva-Chicago,Off-campus with family in-district(total),19300,19300,19300,17800,17800,17800,17800,17800,17800,16300,15800,15800,15800,14800,14800,13800,11800
149329,Telshe Yeshiva-Chicago,Off-campus with family in-state(total),19300,19300,19300,17800,17800,17800,17800,17800,17800,16300,15800,15800,15800,14800,14800,13800,11800
149329,Telshe Yeshiva-Chicago,Off-campus with family out-of-state(total),19300,19300,19300,17800,17800,17800,17800,17800,17800,16300,15800,15800,15800,14800,14800,13800,11800
